MODERN-STANDARD-ARABIC,ALGIERS,ANNABA,SYRIAN,PALESTINIAN
mA*A stfElyn h*A qdr mn End Allh mA byd Hylp,wA$ rAH dyry HAjp ky tktb mn End rby mA Endk mA Adyry,w$ HA dyry HAjp ky tktb mn End rby mA Endk mA Adyry,$w bdk tsAwy hAdA mktwb mn Allh mA bAlyd Hylp,Ay$ HtEmly h*A qdr mn End Allh mA bAlyd Hylp
>ETyt hAtfk AlnqAl l>mk,mdyty ﭙﻮrtAblk lymAk,mdyty bﻮrtAblk l>mk,ETyty AlmwbAyl l>mk,>ETyt jwAlk l>mk
nEm >ETythA *Ak,Ayh hdAk mdythwlhA,|h >dAk mdythwlhA,<y ETythA hdAk,Ah >ETythA hdAk
EndmA qAlt ly lqd >ETythA <yAh,ky qAlt ly ysrA mdthwlhA,ky qAlt ly ysrA Ay mdthwlhA,lmA qAlt ly AETytA yAh,lmA qAltly AnhA >ETtAhA <yAh
qlt lhA lA ymkn mn* qlyl AtSlt mn $ryHthA,qlt lhm sbHAn Allh mqbylp EyTt blAﭙﻮs tAEhA,qtlhA sbHAn Allh qbylp Ay EyTt blAbﻮs tHA,lmA qAlt ly AETytA yAh,qltlhA m$ mmkn qbl $wy AtSlt mn $ryHthA
lA lm >EThA $rA}Hy,lAlA mA ETythA$ ﻟﻴﭙﻮs tAEy,>hA mA ETythA$ ﻟﻴﭙﻮs tyEy,qltl~A mw mEqwl mn $wy AtSlt mn $ryHtA,qltlhA m$ mmkn qbl $wy AtSlt mn $ryHthA
lA bdA ly k>nh lAzAl Endk,lAlA bAnt ly ky $gl mAzAl Endk,lA bAntly ky $gl mzAl Endk,lA >nA mA ETytA $ryHty,lA mA >ETyhA $rA}Hy
lA >nA >stEml hAtfyn nqAlyn,lAlA rAny dAyrp dw ﭙﻮrtAbl,lA bAntly ky $gl mzAl Endk,lA Zhrly k>nw bEdw Endk,Athy>ly Anh DAyl Endk
qwly ly <*A l>nny knt >tSl bk fy mwblys w >jdh mglqA,lAlA rAny dAyrp dw ﭙﻮrtAbl,>hA >ny mdAyrp dw bﻮrtAbl,lA >nA bstEml mwbAylyn,lA >nA bstEml jwAlyn
qwly ly <*A l>nny knt >tSl bk fy mwblys w >jdh mglqA,mAlA qwly ly ﭙﺎskw knt nEyT lk fy mwbylys w ﻧﻠqAە TAfy,mAlA qwly ly bﺎskw knt nEyT lk fy mwbylys w ﻧﻠqﺎە TAfy,qwlyly lkn l>ny knt AtSl fyky mn mwblys w yTlEly msk~r,qwlyly <*A E$An knt btSl fyk fy mwblys w >lAqyh mskr
lA lqd >Tf>t AlhAtf AlnqAl <nh mETl qlylA,lAlA rAny knt mTfyp AﻟﭙﻮrtAbl $wyp fAsd,>hA >ny knt mTfyp AﻟﭙﻮrtAbl $wyp fAzd,lA >nA Tfyt AlmwbAyl kAn fyw ETl,lA Tfyt AljwAl hw xrbAn $wy
lmA*A,wElAh hdA,wElAh >dA,ly$,ly$
mllt mnh AEtdt ElY Al|xr,tqlqt mnh wAlft blwxr,qlqt mnw wAlft blwxr,ml~yt mnw tEwdt EAltAny,zhqt mnh AtEwdt EAlvAny
AEtdt AlHDArp,wAlft bAlHDArp,wAlft bAlHDArp,ml~yt mnw tEwdt EAltAny,tEwdt AlHDArp
HtY tEwdy l$y' qdym h*A SEb qlylA,bA$ trjEy lHAjp qdymp $wyp wAErp,bAh trjEy lHAjp qdymp $wyp wAErp,tEwdt EAlHDArp,tEwdt AlHDArp
qlt >kyd >nhA nAmt,>nA qlt swr rqdt,>nA qﻠﺖ swr rqdt,HtY trjEy l$y qdym hAd SEb $wy,E$An trjEy l<$y qdym h*A SEb $wy
lA lm >nm r>sy y&lmny kvyrA,lAlA mA rqdt$ rAsy ywjE dAr fyA HAlp,>nA qﻠﺖ swr rqdt,qlt >kyd >nhA nAmt,qlt >kyd AnhA nAmt
>nA >yDA fy HAlp yrvY lhA >$Er bAldwAr w >ryd Alnwm,lAlA mA rqdt$ rAsy ywjE dAr fyA HAlp,>hA mA rqdt$ rAsy ywjE dAr fyA HAlp,lA mA nmt rAssy Em yjEny ktyr,lA mA nmt$ rAsy bywjEny ktyr
>nA >yDA fy HAlp yrvY lhA >$Er bAldwAr w >ryd Alnwm,wAllh gyr HtY AnA rAny fy HAlp Hkmtny Aldwxp w HAbp nrqd,wAllh HtY nA fy HAlp Hkmtny Aldwxp w HAbp nrqd,>nA kmAn HAlty bt>s~y HAsp bdwxp w bdy nAm,>nA kmAn fy HAlp btHzn HAss bdwxp w bdy >nAm
EndmA >kwn mtEbp >$Er b>ny >ryd Alnwm,>nA ky  nkwn EyAnp  nHb nrqd,>nA ky nkwn tEbAnp yHkmny nHb nrqd,lmA bkwn tEbAnp bHs bdy nAm,lmA bkwn tEbAnp bHs Any bdy >nAm
>nt lA trydyn fqT Alnwm *lk mA ySybny >HyAnA,mA$y gyr tHby trqdy hAdyk hy ly tHkmny sAEAt,m$ gyr tHby trqdy >dykA hy ly tHkmny sAEAt,>nt mA bdk bs tnAmy hy btSyr mEy >HyAnA,Ant mA bdky$ bs Alnwm h*A Ally bySyr mEy mrAt
lA >dry lmA*A,mA nErf ElAh,mA nErf wElAh,mA bErf ly$,m$ EArfp ly$
jyd,mlyHp,mlAHp,mA bErf ly$,mnyH
<*A >ntm lwHdkm,mAlA rAkm wHdkm,mAlA |km wHdkm,mnyH,mnyH
nEm nHn wHdnA SEdt nAnA w fDylp w r&Y llmbyt,Ayh >nA wHdnA TlEt nAnA w fDylp w r&Y ybAtw,|h |nA wHdnA Ay TlEt nAnA w fDylp w r&Y ybAtw,lkn >ntw lHAlkwn,<*A Antw lHAlkm
h*A jyd lstm wHdkm,>yA byAn mArAkm$ wHdkm,|h |nA wHdnA Ay TlEt nAnA w fDylp w r&Y ybAtw,<y nHnA lHAlnA nAnA TlEt w fDylp w r&Y bgrfp Alnwm,Ah AHnA lHAlnA TlEt nAnA w fDylp w r&Y EAlnwm
mn* zmn lsnA lwHdnA,>yA byAn mArAkm$ wHdkm,>yA byAn m$km wHdkm,kwys mAnkw lHAlkw,h*A mnyH m$ lHAlkm
mn* zmn lsnA lwHdnA,mn bkry mArAnA$ wHdnA,mn bkry m$nA wHdnA,mn zmAn mAnnA lHAlnA,<lnA wqt m$ lHAlnA
>Hsbkm bmfrdkm xft Elykm mn Algwl,EmbAly wHdkm xft Elykm mn Algwl,nxsAb fykm wHdkm xft Elykm mn Algwl,fkrtkwA lHAlkw xft Elykw mn Algwl,HsbtkwA lHAlkwA xft Elykw mn Algwl
lA,lAlA,lA,lA,lA
<*A stnAm mEkm fDylp,mAlA rAHp trqd mEAkm fDylp,mAlA rAH trqd mEAkm fDylp,lkn fDylp lH tnAm mEkwn,<*A HtnAm mEkm fDylp
lA lA lA tnAmy btlk AlTryqp s>HDr lk lHAfA,lAlA lAlA mA trqdy$ hkAk njbdlk kwAt,lA lA mA trqdy$ >kAk njbdlk zAwrp,lkn fDylp lH tnAm mEkwn,lA lA mA tnAmy$ bhdyk AlTryqp H>jyblk lHAf
w >nt mA*A En qdmyk <rtAHwA qlylA,w Ant wA$ rjlyk ryHw $wyp,w Ant w$ rjlyk rtAHw $wyp,lA lA lA tnAmy hyk lH jblk lHAf,lA lA mA tnAmy$ bhdyk AlTryqp H>jyblk lHAf
Sdqyny kEAdthm EndmA >nzE Aljwrb >Hs b>lm lA AstTyE tHmlh lkn fy AlEmwm lAb>s,wAllh ky AlEAdp ky nHy lybA yHkmny wAHd AlsTr mA nqdr$ nHmlw my fy AlEmwm sAfA,wAllh ky AlEAdp ky nHy lybA yHkmny wHd AlsTr mA njm$ nHmlw my fy AlEmwm sAfA,w>nt $w m$An rjlyk ArtAHwA $wy,w Ant Ay$ bAlnsbp lrjlyk <rtAHwA $wy
lknhm mzEjwn >stmr fy rfEhm xASp fy Almktb >xtb} fy AlzwAyA HtY >rfEhm dwn >n yrAny >Hdhm,bAlSH yqlqw hdw ﻧqEd gyr nTlE fyhm syrtw fy Alxdmp ntxbA fy Al$wk bA$ nTlEhm w mA yfyqly HtY wAHd,wAllh ky AlEAdp ky nHy lybA yHkmny wHd AlsTr mA njm$ nHmlw my fy AlEmwm sAfA,Sdqyny mtl AlEAdp bs A$lH jrAbAty bHs bwjE gyr mHtml bs b$kl EAm mA$y AlHAl,Sdqyny zy EAdthm lmA >$lH AljwrbAn >Hs bwjE mA bqdr$ >tHmlh bs EAlEmwm mnyH
>zEjwny qlylA,bAlSH yqlqw hdw ﻧqEd gyr nTlE fyhm syrtw fy Alxdmp ntxbA fy Al$wk bA$ nTlEhm w mA yfyqly HtY wAHd,bSH yqlqw >dwm ﻧqﻌﺪ gyr nTlE fyhm syrtw fy Alxdmp ntxbA fy Al$wk bAh nTlEhm w mA ytwlhly HtY wAHd,bs bydAyqwny bDl rAfEwn xSwSy bAlmktb btxbY bAlzwAyA HtY ArfEwn mn dwn mA HdA y$wfny,bs hmA mzEjyn bDlny >rfEhm xASp fy Almktb >txbY fy AlzwAyA E$An >rfEhm bdwn mA y$wfny HdA mnhm
>zEjwny qlylA,qlqwny $wyp,qlqwny $wyp,zEjwny $wy,>zEjwny $wy
w >ntm mA >HwAlkm,w ntwmA wA$ dAyryn fyhA,w ntwmA w$ mdAyryn fAhA,w>ntw $w >HwAlkw,w >ntm kyf >HwAlkm
bxyr,byAn,byAn,bxyr,bxyr
kyf qDytm Alywm dwn >mk,kyfA$ jwztw Alywm blA mAmAk,kyfmAh Eqbtw Alywm blA mAmAk,kyf mDytw AlnhAr mn dwn >mk,kyf qDytwA Alywm mn gyr <mkw
Alywm knt fy AljAmEp,Alywm knt fy lAfAk,Alywm knt fy lAfAk,kyf mDytw AlnhAr mn dwn >mk,Alywm knt fy AljAmEp
>y sAEp *hbt,ElY $HAl rHty,ElY qdAh rwHty,Alywm knt bAljAmEp,Alywm knt fy AljAmEp
Edt ElY AlvAnyp E$r,wlyt ElY AlTnA$,rwHt lTnA$,Ay sAEp rHt,>y sAEp rHty
knt s>qwl AlvAnyp E$rp lylA >HyAnA >xlT Al>mwr,rAH nqwl lk ElY AlTnA$ tAE Allyl sAEAt >nA nwly nxrbT,rwHt lTnA$,rjEt AlsAEp TEn$,rjEt ElY Al<TnE$
w ysrA,rAH nqwl lk ElY AlTnA$ tAE Allyl sAEAt >nA nwly nxrbT,rAH nqwl lk lTnA$ tAE lyl Aw sAEAt AnA nwly nxrbT,knt rH qwl TnE$ bAllyl >HyAnA bxrbT Al>mwr,knt H>qwl Al<TnE$ bAllyl mrAt bxlT Al>mwr
w ysrA,w ysrA,w ysrA,wysrA,w ysrA
jA't bEdy HwAly AlwAHdp,jAt mwrAyA jwAyh AlwHdp,jAt mn wrAyA jwAyh AlwAHdp,Ajt bEdy HwAly AlsAEp wHdp,>jt bEdy HwAly AlwHdp
<smEy hl hy mEk,AsmEy rAhy mEAk,AsmEy Ay mEAk,AsmEy hy mEk,<smEy hy mEk
EndmA tjdynhA qwly lhA tqwl lk <ymAn $krA jzylA,ky tlqAyhA qwly lhA qAlt lk AymAn rby yEy$k,ky ﺗﻠqﺎyhA qwly lhA qAlt lk AymAn rby yEy$k,lmA tlAqyhA qwlylhA btqlk <ymAn $krA ktyr,lmA tlAqyhA qwlylhA btqwlk <ymAn $krA ktyr
lmA*A,wElAh,wElAh,lmA tlAqyhA qwlylhA btqlk <ymAn $krA ktyr,ly$
qwly lhA fHsb stfhm w tDHk fhmt,qwly lhA brk hy tfhm w tDHk fhmty,qwly lhA brk >y drk tfhm w tDHk fhmty,ly$,ly$
lA tqwly ly mA yzAl Endk,mA tqwlyl$ rAh mAzAl Endk,mA tqwlyl$ >w mzAl Endk,qwlylhA bs hy rH tfhm w tDHk fhmt,qwlylhA bs Htfhm w tDHk fhmt
HqA,qwly wAllh,mA tqwlyl$ >w mzAl Endk,lA tqlyly lsAth Endk,lA tqwlyly lsAth Endk
lmA*A lm tDEyh fy AlHAswb,qwly wAllh,qwly wAllh,En jd,Enjd
lmA*A lm tDEyh fy AlHAswb,wElAh mA HTytyh$ fy Almykrw,wElAh mA HTytyh$ fy Almykrw,ly$ mA HTytyh bAlkmbywtr,ly$ mA btHTyh fy Alkmbywtr
ybdw ly >n wDEth lkn EndmA j}t l>rAh lm >jdh mkAnh,EmbAly HTytw bAlSH ky jyt n$wf lqytw mAkA$,bAntly HTytw bSH ky jyt n$wf lqytw mkAn$,bt*kr Anw HTytw bs lmA Ajyt $wfw mA lqyth mkAnh,bthy>ly HTyth bs lmA >jyt l>$wfh mA lqyt$ mkAnh
|xr tsjyl qmnA bh ywm >tytk,|xr tsjyl drnAh nhAr ly jytk fyh,|xr tsjyl drnAh nhAr ly jytk fyh,|xr tsjyl EmlnAh lmA Ajytk,|xr tsjyl EmlnAh ywm mA >jytk
SHyH >*krh,SH $fyt Elyh,SH $fyt Elyh,SH b*krh,mzbwT b>t*krh
kAn ldy AvnAn lkny >rslt lk Al>wl w lm >rsl AlvAny,>nA kAnw Endy zwj bAlSH >nA bEtlk Al>wl mA bEt$ AltAny,>nA kAnw Endy zwz bSH >nA bEtlk lwl mA bEt$ AltAny,SH b*krh,kAn Endy Avnyn bs >nA bEtlk Al>wl wmA bEtlky$ AltAny
>xT>t <*A,mAlA glTty,mAlA glTty,kAn Endy Atnyn bs bEtlk Al>wl w mA bEt AltAny,kAn Endy Avnyn bs >nA bEtlk Al>wl wmA bEtlky$ AltAny
lkn >rslt lk Al>wl fy AlqA}mp mn AlmfrwD >nh Al>xyr,bAlSH bEtlk Al>wl fy lAlyst nwrmAlmwn hdAk hw lxr,bSH bEtlk lwl fy lAlyst nwrmAlmwn >dAkA hw lxr,glTt lkn,glTt <*A
lA lA lys *lk hw Al>xyr,lAlA lAlA mA$y hdAk hw lxr,bSH bEtlk lwl fy lAlyst nwrmAlmwn >dAkA hw lxr,bEtlk Al>wl mn AlqA}mp lAzm ykwn Al>xyr,bs bEtlk Al>wl fy AlqA}mp mn AlmfrwD Anh Al>xyr
hnAk AvnAn >lys k*lk EndmA tftHyn AlqA}mp tjdynh hw Al>wl,lAlA lAlA mA$y hdAk hw lxr,lA lA m$ >dAkA hw lxr,lAlA mw hw Al>xyr,lA lA m$ hdAk hw Al>xyr
hnAk AvnAn >lys k*lk EndmA tftHyn AlqA}mp tjdynh hw Al>wl,AmA hwmA kAynyn zwj w ky tjy tHly lAlyst yjyk Al>wl,mxy hmA kAynyn zwz w ky tjy tHly lAlyst yjyk lwl,hwnyk Atnyn mw hyk lmA btftHy AlqA}mp btlAqyh Al>wl,fy Avnyn m$ hyk lmA tftHy AlqA}mp btlAqyh hw Al>wl
lA lA ykwn hw Al>xyr hw |xr wAHd sjlth,lAlA lAlA yjyk lxr hw Axr wAHd sjltyh,lA lA yjyk lxr hw Axr wAHd sjltyh,lAlA bykwn Al>xyr hw |xr wAHd sjlth,lA lA bykwn hw Al>xyr hw |xr wAHd sjlth
h*A SHyH ybdw ly >nh Al>wl,kAyn mnhA SH >nA EmbAly Al>wl,kAyn mnhA SH >nA bAntly lwl,hAd SH byZhr hw Al>wl,h*A mzbwT bthy>ly Anh Al>wl
nzEth,nHtyh,nHtyh,$lth,$lth
nEm nzEth w AlvAny >yDA lys ldy >y wAHd w <lA f<n AlbTAqp lA tHtml lA >stTyE >n >sjl <lA <*A knt qd nzEth,Ayh nHytw w AltAny kyfkyf mA Endy HtA wAHd synwn mA tHkmly$ lAkArt mA nqdr$ nsjl gyr <dA knt nHytw,|h nHytw w AltAny kyfkyf mA Endy HtA wAHd synwn mA tHkmly$ lAkArt mA njm$ nsjl gyr <dA knt nHytw,$lth,Ah $lth w AltAny kmAn mA Endy$ >y wAHd w <lA AlbTAqp mA bttHml mA bqdr$ Any >sjl <lA <*A knt $lth
mvl Almrp AlsAbqp >SlA lm >stTE >n >stqbl AlrsAlp HtY nzEt Al*Akrp,kymA hAdyk AlxTrp >SlA mysAj mA qdr$ ydxl HtY nHyt mn AlmymwAr,kymA >dykA AlxTrp >SlA mysAj mA qdr$ ydxl HtAn nHyt mn AlmymwAr,Ay $lth w AltAny kmAn mA Endy wlA wAHd w <lA AlbTAqp mA btstHml mAfyny sjl AlA <*A $lth,Ah $lth w AltAny kmAn mA Endy$ >y wAHd w <lA AlbTAqp mA bttHml mA bqdr$ Any >sjl <lA <*A knt $lth
<*A Amtl>t,mAlA tEmrt,mAlA tEmrt,mtl Almrp AlmADyp >SlA mA qdrt Astqbl AlrsAlp HtY $lt Al*Akrp,zy Almrp Ally fAtt >SlA mA qdrt$ Any >stqbl AlrsAlp lEnd mA $lt Al*Akrp
nEm Amtl>t lys ldy msAHp kbyrp w <lA knt sjlt >kvr mn h*A,tEmrt Ayh mA Endy$ blASp bzAf synwn rAny sjlt >ktr mn hkA,mAlA tEmrt,mEnAhA tEb~t,<*A <tEbt
<*A tlk Alty fyhA Swty lA tmsHyhA kyf kAn Swty jydA >m lA,tEmrt Ayh mA Endy$ blASp bzAf synwn rAny sjlt >ktr mn hkA,tEmrt |h mA Endy$ blASp yAsr synwn Any sjlt >ktr mn hk,Ay tEb~t mAEndy msAHp kbyrp w <lA knt sjlt >ktr mn hyk,Ah <tEbt mA Endy$ msAHp kbyrp w <lA knt sjlt >ktr mn h*A
<*A tlk Alty fyhA Swty lA tmsHyhA kyf kAn Swty jydA >m lA,mAlA tAE Swty xlyh mA tnHyh$ kyfA$ jAy Swty mlyH wlA lAlA,mAlA tAE Swty xlyh mA tnHyh$ kyfAh jAy Swty mlyH wlA lA,mEnAhA hy Aly fyhA Swty lA tmsHyhA kyf kAn Swty kwys wlA l>,<*A hdyk Ally fyhA Swty mA tmsHyhA kyf kAn Swty kwys w<lA l>
mDHk,yDHk,yDHk,byDHk,byDHk
mDHk,yDHk,yDHk,byDHk,byDHk
>tElmyn wjhy jAf,ElY bAlk wjy nA$f,ElY bAlk wjy $AyH,btErfy wjhy nA$f,btErfy wjhy nA$f
h*A Alxmys lA ymknny Almjy',Alxmys hdA mA nqdr$ njy,lxmys >dA mA nqdr$ njy,btErfy wjhy nA$f,h*A Alxmys mA bqdr$ >jy
lmA*A,wElAh,wElAh,hAd Alxmys mA fyny Ajy,h*A Alxmys mA bqdr$ >jy
lm >stTE,mA qdrt$,mA qdrt$,ly$,ly$
kyf *lk,kyfA$,mA qdrt$,mA qdrt,mA qdrt$
qlt lk Sdqyny >n lA >stTyE Altnql,kyfA$,kyfmAh,kyf hyk,kyf hyk
qlt lk Sdqyny >n lA >stTyE Altnql,qlt lk wAllh mA rAny qAdrp ndﻳﭙﻼsA,qAlt lk wAllh m$ny mnjmp ndﻳﭙﻼsy,qltlk Sdqyny mAfyny Atnql,qltlk Sdqyny Any mA bqdr$ >tnql
lmA*A,wElAh,wElAh,ly$,ly$
lmA smEt f$lt jdA,ky smEt f$lt qAE,ky smEt f$lt xlAh,lmA smEt DEft ktyr,lmA smEt f$lt ktyr
f$lt lkn lys fy *lk $y' tEAly w Ajlsy,f$lty bAlSH mA fyhA HtY HAjp >rwAHy w AqEdy,f$lty bSH mA fyhA Ht$y >rwAHy w AqEdy,xsrt bs mw bkl $y tEAly AqEdy,f$lt bs mA fyhA$ A$y tEAly w AqEdy
AlbArHp EndmA qlt ly *lk >Tf>t AlHAswb tEbt >n >kml,AlbArH ky qlt ly hkAk Almykrw Tfytw Eyyt nkml,lbArH ky qAlt ly hkAk Almykrw Tfytw Eyyt nkml,xsrt bs mw bkl $y tEAly AqEdy,AmbArH lmA qltyly hyk Tfyt Alkmbywtr tEbt >kml
>nA >wAfqk fy h*A Al>mr,rAny mEAk fy Al$y hdA,Any mEAk fy Al$y >dA,mbArH lmA qltyly hyk Tfyt Alkmbywtr tEbt w mA qdrt kml,AmbArH lmA qltyly hyk Tfyt Alkmbywtr tEbt >kml
lmA smEt AlftAt ybkyn fy AlSbAH f$lt >kvr,ky zdt smEt AlbnAt ybkyw fy AlSbAH f$lt,ky zt smEt AlbnAt ybkyw fy AlSbAH f$lt,tmAm >nA bwAfqk bhAlmwDwE,>nA b>wAfqk fy h*A Al>mr
lmA*A AtSl bhm,wElAh EyTlhm,ky zt smEt AlbnAt ybkyw fy AlSbAH f$lt,lmA smEt AlbnAt Em ybkwA AlSbH DEft >ktr,lmA smEt AlbnAt byEyTwA fy AlSbH f$lt >ktr
nEm AtSl bhm qAl lhm >nA |t EndmA wSlt >my Endhm dxl hw mn xlfhA,wElAh EyTlhm,wElAh EyTlhm,ly$ AtSl fyhm,ly$ AtSl fyhm
nEm AtSl bhm qAl lhm >nA |t EndmA wSlt >my Endhm dxl hw mn xlfhA,EyTlhm Ayh qAlhm rAny jAy mAmA ky wSlt Endhm hw dxl mwrAhA,EyTlhm |h qlhm Any jAy mAmA ky wSlt Endhm hw dxl mn wrAhA,Ay AtSl fyhm qlhm >nA jAy w lmA wSlt >my lEndhm dxl wrAhA,Ah AtSl fyhm qAlhm >nA jAy lmA wSlt Amy Endhm dxl hw mn wrAhA
w kyf HAlh Al|n,w kyfA$ rAhw dwk,w zyw hw drk,wkyf HAlh hlq,w kyf HAlh hlqyt
qAlt >my wjhh mtgyr,qAlt ly mAmA wjhh mbdl,qAlt ly mAmA wjw mbdl,>my qAlt wjhh mgyr,qAlt Amy wjhh mtgyr
xyrA <n $A' Allh w hl mr Al>mr bslAm,n$A llh  tkwn xyr w jAzt slAmAt mEAh,n$A llh tkwn xyr w EdAt slAmAt mEAh,xyr <n $A' Allh w mr AlmwDwE ElY xyr,xyr <n $A' Allh w mr AlmwDwE bslAm
AtmnY >lA ykwn mxTwfA fqT >w mxAbrAt mn >jl Emlh,n$A llh brk mA  ykwn$ mxTwf wlA sykyryty mylytAr ElY jAl Alxdmp tAEh,n$A llh brk mA ykwn$ mxTwf wlA sykyryty mylytAr ElY jAl Alxdmp tyEw,xyr <n $A' Allh w mr AlmwDwE ElY xyr,btmnY mA ykwn$ mxTwf bs >w mxAbrAt E$An $glh
lmA*A mA*A yEml hw,wElAh hw wA$ yxdm,wElAh hw w$ yxdm,btmnY mA ykwn mxTwf >w End Al>mn bsbb $glh,btmnY mA ykwn$ mxTwf bs >w mxAbrAt E$An $glh
qAlt ly >my yEml fy AlwlAyp,qAlt ly mAmA yxdm fy AlwlAyp,qAlt ly mAmA yxdm fy AlwlAyp,ly$ hw $w by$tgl,ly$ Ay$ by$tgl hw
w kyf *lk,kyfA$ hdA,qAlt ly mAmA yxdm fy AlwlAyp,>my qAlt by$tgl bAlmHAfZp,qAltly Amy by$tgl fy AlwlAyp
smEt Ebdw ytklm qAl >wl}k Al*yn yfkwn AlrsA}l Alty t>ty llwAly >mwr kh*h,kyfA$ hdA,kyfmAh >dA,kyf yEny,w kyf hyk
smEt Ebdw ytklm qAl >wl}k Al*yn yfkwn AlrsA}l Alty t>ty llwAly >mwr kh*h,>nA AlbArH smEt Ebdw yhdr qAl ly ydykwdyw lymysAj ly yjyw llwAly HwAyj kymA hAkA,AnA lbArH nsmE fy Ebdw yhdr qAl ly ydykwdyw lymysAj ly yjyw llwAly HwAyj kymA >k,smEt Ebdw Em yHky qAl ymkn mtl Aly byxSSwA Albryd llmHAfZ hyk >mwr yEny,smEt Ebdw bytklm qAl >wl}k Ally yfkwn AlrA}l Ally btyjy llwAly >mwr zy hyk
lA >Erf kyf Emlh,mA nErf kyfA$ xdmtw,mA nErf kyfmAh xdmtw,mA bErf kyf $glh,mA bErf kyf $glh
hw ymlk mHfZp mn Al$rA}H,hw Endh kArtAbl tAE  ﻟﻴﭙﻮs,hw Endw kArtAbl tAE  ﻟﻴﭙﻮs,hw Endw $nTp $rAyH,hw Endh mHfZp mn Al$rAyH
qAl ly nwr ybdw ly >nhA tSfyp HsAbAt mE >SdqA}h,nwr qAl bAnt ly SHAbh ysAlwlh tAr,nwr qAl Zhrtly SHAbh ysAlwh Hsyfp,qly nwr AlwADH <nhA tSfyp HsAbAt mE rfqAth,qAly nwr bthy>ly AnhA tSfyp HsAbAt mE SHAbh
lA hw lyst ldyh >yp m$Akl lw kAnwA <xwth Al|xrwn lqlt lk,lAlA hw mA Endw$ m$Akl qAE lwkAn xAwtw wAHd Axryn nqwl lk,lA hw mA Endw$ m$Akl xlAh lkAn jAw xAwtw wHAyd xryn nqwl lk,qly nwr AlwADH <nhA tSfyp HsAbAt mE rfqAth,lA hw mA Endw$ >y m$Akl lw kAnw <xwth AltAnyyn lqltlk
lkn mA mEnY >n yxtTf $xS vlAvp >yAm h*A yEny >n hnAk >mrA mA,bAlSH wA$ mEntA wAHd ytxTf tlt AyAm mEntA kAynp HAjp,bSH w$ mEnAhA wAHd ytxTf tlAtp yAm mEnAhA kAynp HAjp,lA hw mA Endh m$Akl lw wAHd mn AxwAth knt qltlk,lA hw mA Endw$ >y m$Akl lw kAnw <xwth AltAnyyn lqltlk
>nZry >wl $y' ykwn qd fqd *Akrth lkn h*A gyr mmkn tmAmA,$wfy >wl HAjp  ykwn fqd AldAkrp tAEw bAlSH mAkA$ mnhA hdy qAE,$wfy Awl HAjp ykwn fqd AldAkrp tAEw bSH mkAn$ mnhA >dy xlAh,lkn $w yEny ynxTf $xS 3 AyAm hAd mEnAh fy $glp mEynp,bs Ay$ yEny Anh ynxTf wAHd vlAv >yAm h*A yEny Anh fy A$y
lkn yjdwnh,bAlSH ylqAwh,$wfy Awl HAjp ykwn fqd AldAkrp tAEw bSH mkAn$ mnhA >dy xlAh,$wfy >wl $y Anw ykwn fqd *Akrth nhA}yA hAd mw mmkn,$wfy >wl A$y bykwn fqd *Akrth bySH hyk m$ mmkn bAlmrp
kyf yfqd *Akrth,bAlSH ylqAwh,bSH ylqAwh,bs bylAqwh,bs bylAqwh
kyf yfqd *Akrth,kyfA$ yfqd AldAkrp tAEh,kyfmAh yfqd AldAkrp tyEw,kyf byfqd *Akrth,kyf yfqd *Akrth
>HyAnA tHdv ynswn kl $y' vm yt*krwn,sAEAt tSrA ynsAw kl$ w AmbEd ytfkrw,sAEAt tSrA ynsAw kl$ w AmbEd ytfkrw,mrAt btSyr bynswA kl $y bEdyn byt*krwA,mrAt btSyr bynswA kl A$y bEdyn byt*krwA
mA*A ymkn >n yHdv lh,yEny wA$ ySrA lh,yEny w$ ySrAlw,$w mmkn ySrlh,Ay$ mmkn ySyrlh
HtY lw >nh nsy Hqyqp stjdh Al$rTp,HtY lwkAn jAt SH nsA rAH ylqAwh lAﭙﻮlys,HtY kwn jAt SH nsA rAH ylqAwh lAbﻮlys,HtY lw nsy Enjd Al$rTp btlAqyh,HtY lw Anh nsy Hqyqp HtlAqyh Al$rTp
h*A AHtmAl wAHd bAlm}p,hdA <HtmAl wAHd fy AlmyA,>dA <HtmAl wAHd fy lmyA,HtY lw nsy Enjd Al$rTp btlAqyh,h*A AHtmAl wAHd bAlmyp
w AlAHtmAl AlvAny ybdw ly mn Emlh xASp AlmxAbrAt <nhm xTyrwn,w AlAHtmAl AltAny mn Alxdmp tAEh syrtw sykyryty mylytAr  wAEryn,w AlAHtmAl AltAny Zhrtly mn Alxdmp tyEw syrtw sykyryty mylytAr >m wAEryn,hAd AHtmAl wAHd bAlmyp,h*A AHtmAl wAHd bAlmyp
w mA Almmkn >n yfElwh bh,yEny wA$ rAH ydyrwlw,yEny w$ rAH ydyrwlw,wAlAHtmAl AltAny byxS $glh,w AlAHtmAl AltAny bthy>ly mn $glh xASp AlmxAbrAt xTyryn
nHn Al|n lA nElm nHn nftrD fqT,drk HnA mA ElAbAlnA$ >nA ﻧhdrw brk,yEny w$ rAH ydyrwlw,w$w mmkn yEmlw fyh,w Ay$ mmkn Anhm yEmlwA fyh
